year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes
2004,DATUK HON CHOON KIM,BN,MCA,36542,64.28018575851394,128,SEREMBAN,Negeri Sembilan,1,56848
2004,CHOONG YEN LOONG,,DAP,20306,35.71981424148607,128,SEREMBAN,Negeri Sembilan,0,56848
2004,DATUK GOH SIOW HUAT,BN,MCA,25009,55.01924980750192,130,RASAH,Negeri Sembilan,1,45455
2004,CHAN SU SANN,,DAP,20446,44.98075019249808,130,RASAH,Negeri Sembilan,0,45455
2004,DATUK FIRDAUS MUHAMMAD ROM HARUN,BN,UMNO,28664,74.12081092263136,131,REMBAU,Negeri Sembilan,1,38672
2004,DR DZULKEFLI AHMAD,BA,PAS,10008,25.87918907736864,131,REMBAU,Negeri Sembilan,0,38672
2004,DATUK SHAZIMAN ABU MANSOR,BN,UMNO,23936,80.35450516986707,133,TAMPIN,Negeri Sembilan,1,29788
2004,ABDUL RAZAKEK ABDUL RAHIM,BA,PAS,5852,19.64549483013294,133,TAMPIN,Negeri Sembilan,0,29788
2004,MOHD SAID YUSOF,BN,UMNO,31198,75.97778968389265,139,JASIN,Melaka,1,41062
2004,JASME TOMPANG,BA,PAS,9864,24.02221031610735,139,JASIN,Melaka,0,41062
2004,DR S SUBRAMANIAM,BN,MIC,17953,63.89650140584404,140,SEGAMAT,Johor,1,28097
2004,PANG HOK LIONG,,DAP,10144,36.10349859415596,140,SEGAMAT,Johor,0,28097
2004,BAHARUM MOHAMED,BN,UMNO,19628,80.39649381502417,141,SEKIJANG,Johor,1,24414
2004,ZULKAPLI BIN SALLEH,BA,PKR,4786,19.603506184975835,141,SEKIJANG,Johor,0,24414
2004,DATUK DR CHUA SOI LEK @ CHUA KIN SENG,BN,MCA,16469,74.15462200009006,142,LABIS,Johor,1,22209
2004,TEE GEY YAN,,DAP,5740,25.845377999909946,142,LABIS,Johor,0,22209
2004,MUHYIDDIN BIN MOHD YASSIN,BN,UMNO,23679,82.76187480339729,143,PAGOH,Johor,1,28611
2004,MOHAMED ANANG,BA,PAS,4932,17.238125196602706,143,PAGOH,Johor,0,28611
2004,HAMIM SAMURI,BN,UMNO,30967,76.91180488289497,144,LEDANG,Johor,1,40263
2004,KASIM IBRAHIM,BA,PAS,9296,23.088195117105034,144,LEDANG,Johor,0,40263
2004,DATUK CHUA JUI MENG,BN,MCA,29320,74.07594552942068,145,BAKRI,Johor,1,39581
2004,AZHARI ISMAIL,,DAP,10261,25.924054470579318,145,BAKRI,Johor,0,39581
2004,RAZALI IBRAHIM,BN,UMNO,21116,73.27619113717597,146,MUAR,Johor,1,28817
2004,MOHAMAD TAIB,BA,PAS,7701,26.72380886282403,146,MUAR,Johor,0,28817
2004,HOO SEONG CHANG,BN,MCA,33001,69.76365635041434,152,KLUANG,Johor,1,47304
2004,NG LAM HUA,,DAP,14303,30.23634364958566,152,KLUANG,Johor,0,47304
2004,DATUK HISHAMUDDIN TUN HUSSEIN,BN,UMNO,19575,88.28702868482772,153,SEMBRONG,Johor,1,22172
2004,ONN JAAFAR,BA,PAS,2597,11.71297131517229,153,SEMBRONG,Johor,0,22172
2004,DATUK ABDUL LATIFF AHMAD,BN,UMNO,19222,80.52448577772192,154,MERSING,Johor,1,23871
2004,IDRIS TUKACHIL,BA,PAS,4649,19.47551422227808,154,MERSING,Johor,0,23871
2004,DATUK DR ADHAM BABA,BN,UMNO,19706,88.27271098369468,155,TENGGARA,Johor,1,22324
2004,SALLEH FARMIN,BA,PAS,2618,11.727289016305322,155,TENGGARA,Johor,0,22324
2004,DATUK AZALINA OTHMAN SAID,BN,UMNO,0,0.0,157,PENGERANG,Johor,1,0
2004,LING BAN SAN @ TENG BOON SOON,BN,MCA,32071,84.1074191602633,158,TEBRAU,Johor,1,38131
2004,YAAKOB MOHD YUSOF,BA,PAS,6060,15.892580839736697,158,TEBRAU,Johor,0,38131
2004,DATUK NUR JAZLAN TAN SRI MOHAMAD,BN,UMNO,42406,85.00581325421962,161,PULAI,Johor,1,49886
2004,NASIR WAHAB,BA,PAS,7480,14.994186745780379,161,PULAI,Johor,0,49886
2004,LIM SI CHENG,BN,MCA,32278,69.54666896492286,163,KULAI,Johor,1,46412
2004,ONG KOW MENG,,DAP,14134,30.453331035077134,163,KULAI,Johor,0,46412
2004,HASNI MOHAMAD,BN,UMNO,26667,82.87854301342615,164,PONTIAN,Johor,1,32176
2004,HASSAN ABDUL KARIM,BA,PKR,5509,17.121456986573843,164,PONTIAN,Johor,0,32176
2004,DATUK SUHAILI ABDUL RAHMAN,BN,UMNO,11087,77.67813353884958,166,LABUAN,Sabah,1,14273
2004,MATUSIN ABDUL RAHMAN,BA,PAS,3186,22.321866461150424,166,LABUAN,Sabah,0,14273
2004,DATUK ABDUL RAHIM BAKRI,BN,UMNO,13236,56.61006800393482,167,KUDAT,Sabah,1,23381
2004,Abdul Rahman Sedik,,IND,6488,27.749026987725077,167,KUDAT,Sabah,0,23381
2004,Abdul Razak Abdul Salam,,IND,2375,10.15782045250417,167,KUDAT,Sabah,0,23381
2004,Asbiah Anggar,,IND,1282,5.483084555835935,167,KUDAT,Sabah,0,23381
2004,Wilfred Madius Tangau,BN,UPKO,17722,67.44301099821136,170,TUARAN,Sabah,1,26277
2004,Ansari Abdullah,BA,PKR,8555,32.55698900178864,170,TUARAN,Sabah,0,26277
2004,Eric Majimbun,BN,SAPP,16426,75.9513570999214,171,SEPANGGAR,Sabah,1,21627
2004,Saidatul Badru Said,BA,PKR,5201,24.048642900078605,171,SEPANGGAR,Sabah,0,21627
2004,Marcus Mojigoh,BN,UPKO,13816,69.77777777777777,173,PUTATAN,Sabah,1,19800
2004,Awang Ahmad Sah,BA,PKR,5984,30.22222222222222,173,PUTATAN,Sabah,0,19800
2004,Donald Peter Mojuntin,BN,UPKO,16032,75.46601393334589,174,PENAMPANG,Sabah,1,21244
2004,Jomilon Mojountin,,DAP,3325,15.651478064394652,174,PENAMPANG,Sabah,0,21244
2004,Joseph Sulaiman,,IND,960,4.5189229900207115,174,PENAMPANG,Sabah,0,21244
2004,Blaise Mosidin,BA,PKR,927,4.36358501223875,174,PENAMPANG,Sabah,0,21244
2004,Rosnah Abdul Rashid Shirlin,BN,UMNO,0,0.0,175,PAPAR,Sabah,1,0
2004,Anifah Aman,BN,UMNO,9655,67.98338262216589,176,KIMANIS,Sabah,1,14202
2004,Awang Tengah Awang Amin,BA,PKR,4547,32.01661737783411,176,KIMANIS,Sabah,0,14202
2004,Azizah Mohd Dun,BN,UMNO,0,0.0,177,BEAUFORT,Sabah,1,0
2004,Yusof Yacob,BN,UMNO,0,0.0,178,SIPITANG,Sabah,1,0
2004,Bernard Giluk Dompok,BN,UPKO,7547,40.518629872221624,179,RANAU,Sabah,1,18626
2004,Ruhimin Adzim,,IND,6160,33.072049822828305,179,RANAU,Sabah,0,18626
2004,Karim Adam,,IND,3310,17.77085794051326,179,RANAU,Sabah,0,18626
2004,Japiril Suhaimin,,IND,1609,8.638462364436808,179,RANAU,Sabah,0,18626
2004,Joseph Pairin Kitingan,BN,PBS,0,0.0,180,KENINGAU,Sabah,1,0
2004,Raime Unggi,BN,UMNO,8032,58.79941434846266,181,TENOM,Sabah,1,13660
2004,Laimun Laikin,,IND,5628,41.20058565153734,181,TENOM,Sabah,0,13660
2004,Bernard S Maraat,BN,PBRS,5880,50.21778119395337,182,PENSIANGAN,Sabah,1,11709
2004,Martin Tommy,,IND,5272,45.02519429498676,182,PENSIANGAN,Sabah,0,11709
