,name,number_of_voters,panel_code,panel_name,tab,state_region
60,Damian Yeo Shen Li (PH - DAP),"42.2% (7,642)",N21,DUYONG (P138),state,Melaka
61,Lee Kiat Lee (BN - MCA),"26.2% (4,747)",N21,DUYONG (P138),state,Melaka
62,Kamarudin Sedik (PAS),"16.2% (2,938)",N21,DUYONG (P138),state,Melaka
63,Lim Jak Wong (IND),0.3% (62),N21,DUYONG (P138),state,Melaka
64,Tey Kok Kiew (PH - DAP),"66.9% (14,038)",N22,BANDAR HILIR (P138),state,Melaka
65,Lee Chong Leng (BN - MCA),"13.0% (2,725)",N22,BANDAR HILIR (P138),state,Melaka
66,Chin Choong Seong (IND),0.7% (141),N22,BANDAR HILIR (P138),state,Melaka
67,Noor Effandi Ahmad (PH - PPBM),"37.6% (7,694)",N23,TELOK MAS (P138),state,Melaka
68,Abdul Razak Abdul Rahman (BN - UMNO),"31.3% (6,406)",N23,TELOK MAS (P138),state,Melaka
69,Rosazli Md Yasin (PAS),"15.5% (3,164)",N23,TELOK MAS (P138),state,Melaka
70,Wong Fort Pin (PH - DAP),"38.0% (6,998)",N24,BEMBAN (P139),state,Melaka
71,Koh Chin Han (BN - MCA),"30.7% (5,653)",N24,BEMBAN (P139),state,Melaka
72,Suhaimi Harun (PAS),"15.0% (2,762)",N24,BEMBAN (P139),state,Melaka
73,Ghazale Muhamad (BN - UMNO),"38.7% (5,301)",N25,RIM (P139),state,Melaka
74,Shamsul Iskandar @ Yusre Mohd Akin (PH - PKR),"34.8% (4,765)",N25,RIM (P139),state,Melaka
75,Kintan Man (PAS),"9.2% (1,262)",N25,RIM (P139),state,Melaka
76,Zaidi Attan (BN - UMNO),"40.6% (6,401)",N26,SERKAM (P139),state,Melaka
77,Nor Khairi Yusof (PH - AMANAH),"23.3% (3,664)",N26,SERKAM (P139),state,Melaka
78,Ahmad Bilal Rahudin (PAS),"21.7% (3,423)",N26,SERKAM (P139),state,Melaka
79,Roslan Ahmad (BN - UMNO),"38.3% (5,290)",N27,MERLIMAU (P139),state,Melaka
80,Yuhaizad Abdullah (PH - AMANAH),"37.4% (5,160)",N27,MERLIMAU (P139),state,Melaka
81,Abdul Malek Yusof (PAS),"8.7% (1,208)",N27,MERLIMAU (P139),state,Melaka
82,Hasan Abd Rahman (BN - UMNO),"43.1% (5,088)",N28,SUNGAI RAMBAI (P139),state,Melaka
83,Azalina Abdul Rahman (PH - PPBM),"29.0% (3,419)",N28,SUNGAI RAMBAI (P139),state,Melaka
84,Zakariya Kasnin (PAS),"11.9% (1,405)",N28,SUNGAI RAMBAI (P139),state,Melaka
