,name,number_of_voters,panel_code,panel_name,tab,state_region
129,Chang Chun Cheun (BN - MCA),"25.4% (6,156)",N46,TEJA (P71),state,Perak
130,Mokthar Abdullah (PAS),"8.4% (2,028)",N46,TEJA (P71),state,Perak
131,Ahmad Faizal Azumu (PH - PPBM),"33.9% (7,662)",N47,CHENDERIANG (P72),state,Perak
132,Chong Shin Heng (BN - MCA),"33.7% (7,623)",N47,CHENDERIANG (P72),state,Perak
133,Nordin Hassan (PAS),"7.7% (1,735)",N47,CHENDERIANG (P72),state,Perak
134,Samsudin Abu Hassan (BN - UMNO),"37.3% (9,141)",N48,AYER KUNING (P72),state,Perak
135,Tan Seng Toh (PH - AMANAH),"28.7% (7,054)",N48,AYER KUNING (P72),state,Perak
136,Salmah Ab Latiff (PAS),"12.2% (2,993)",N48,AYER KUNING (P72),state,Perak
137,Zainol Fadzi Paharudin (BN - UMNO),"35.2% (9,265)",N49,SUNGAI MANIK (P73),state,Perak
138,Mohamad Maharani Md Tasi (PH - PKR),"27.8% (7,326)",N49,SUNGAI MANIK (P73),state,Perak
139,Mohamed Yusoff Abdullah (PAS),"15.5% (4,071)",N49,SUNGAI MANIK (P73),state,Perak
140,Mustapa Kamal Maulut (BERJASA),0.6% (169),N49,SUNGAI MANIK (P73),state,Perak
141,Wan Norashikin Wan Noordin (BN - UMNO),"38.9% (11,026)",N50,KAMPONG GAJAH (P73),state,Perak
142,Mustafa Shaari (PAS),"27.1% (7,681)",N50,KAMPONG GAJAH (P73),state,Perak
143,Zaiton Latiff (PH - AMANAH),"13.6% (3,861)",N50,KAMPONG GAJAH (P73),state,Perak
144,Yahaya Mat Nor (PH - AMANAH),"33.3% (14,123)",N51,PASIR PANJANG (P74),state,Perak
145,Rashidi Ibrahim (BN - UMNO),"30.4% (12,904)",N51,PASIR PANJANG (P74),state,Perak
146,Rohawati Abidin (PAS),"18.4% (7,795)",N51,PASIR PANJANG (P74),state,Perak
147,Zambry Abd Kadir (BN - UMNO),"33.8% (8,378)",N52,PANGKOR (P74),state,Perak
148,Nordin Ahmad Ismail (PH - PPBM),"27.3% (6,752)",N52,PANGKOR (P74),state,Perak
149,Zainal Abidin Saad (PAS),"14.7% (3,638)",N52,PANGKOR (P74),state,Perak
150,Shahrul Zaman Yahya (BN - UMNO),"40.6% (6,529)",N53,RUNGKUP (P75),state,Perak
151,Hatim Musa (PH - AMANAH),"21.5% (3,460)",N53,RUNGKUP (P75),state,Perak
152,Mohd Mohkheri Jalil (PAS),"15.1% (2,430)",N53,RUNGKUP (P75),state,Perak
153,Khairuddin Tarmizi (BN - UMNO),"35.1% (10,961)",N54,HUTAN MELINTANG (P75),state,Perak
154,Manivannan Gowindasamy (PH - PKR),"32.7% (10,220)",N54,HUTAN MELINTANG (P75),state,Perak
155,Mohd Misbahul Munir Masduki (PAS),"10.1% (3,150)",N54,HUTAN MELINTANG (P75),state,Perak
156,Terence Naidu Raja @ Raja Naidu (PH - DAP),"62.0% (19,480)",N55,PASIR BEDAMAR (P76),state,Perak
157,Kong Sun Chin (BN - MCA),"15.8% (4,960)",N55,PASIR BEDAMAR (P76),state,Perak
158,Kumaresan Shanmugam (PAS),3.0% (939),N55,PASIR BEDAMAR (P76),state,Perak
159,Mohd Azhar Jamaluddin (BN - UMNO),"32.0% (11,216)",N56,CHANGKAT JONG (P76),state,Perak
160,Muhammad Faizul Mohamed Ismail (PH - PPBM),"31.8% (11,149)",N56,CHANGKAT JONG (P76),state,Perak
161,Mohd Azhar Mohd Rafiei (PAS),"16.6% (5,834)",N56,CHANGKAT JONG (P76),state,Perak
162,Sivanesan Achalingam (PH - DAP),"56.2% (9,631)",N57,SUNGKAI (P77),state,Perak
163,Elango Vadiveloo (BN - MIC),"18.3% (3,138)",N57,SUNGKAI (P77),state,Perak
164,Appalasamy Jetakiah (PAS),2.9% (505),N57,SUNGKAI (P77),state,Perak
165,Mohd Khusairi Abdul Talib (BN - UMNO),"35.6% (8,327)",N58,SLIM (P77),state,Perak
166,Mohd Amran Ibrahim (PH - PPBM),"26.3% (6,144)",N58,SLIM (P77),state,Perak
167,Muhammad Zulfadli Zainal (PAS),"17.6% (4,103)",N58,SLIM (P77),state,Perak
168,Aminuddin Zulkipli (PH - AMANAH),"34.9% (9,770)",N59,BEHRANG (P77),state,Perak
169,Rusnah Kassim (BN - UMNO),"33.5% (9,361)",N59,BEHRANG (P77),state,Perak
170,Sayed Zamzuri Sayed Nengah (PAS),"11.9% (3,334)",N59,BEHRANG (P77),state,Perak
