,coalition,party,logo,name,gender,codeId,state,parName
173,pn,bersatu,pn,Wong Kean Rong,L,06632,Perak,Batu Gajah
174,ph,dap,ph,Chaw Kam Foon,L,06632,Perak,Batu Gajah
175,bn,mca,bn,Phoon Kai Mun,L,06632,Perak,Batu Gajah
176,ph,dap,ph,Steven Tiw Tee Siang,L,06633,Perak,Batu Gajah
177,,pbm,pbm,Bryan Yong Wu Sean,L,06633,Perak,Batu Gajah
178,,ind,ind,Meor Shahimudin Hasim,L,06633,Perak,Batu Gajah
179,pn,gerakan,pn,Sin Koon Yen,P,06633,Perak,Batu Gajah
180,gta,pejuang,pejuang,Roslan Ismail,L,06633,Perak,Batu Gajah
181,bn,mca,bn,Leong Chee Wai,L,06633,Perak,Batu Gajah
182,pn,bersatu,pn,Hashim Bujang,L,06734,Perak,Kuala Kangsar
183,bn,umno,bn,Azizul Rahim Abd Rahman,L,06734,Perak,Kuala Kangsar
184,ph,pkr,ph,Mohamad Hairul Amir Sabri,L,06734,Perak,Kuala Kangsar
185,ph,amanah,ph,Mohd Jamsari Mahamood,L,06735,Perak,Kuala Kangsar
186,bn,umno,bn,Mustafa Shah Abdul Hamid,L,06735,Perak,Kuala Kangsar
187,pn,pas,pn,Burhanuddin Ahmad,L,06735,Perak,Kuala Kangsar
188,pn,bersatu,pn,Ahmad Faisal Mansor,L,06836,Perak,Beruas
189,gta,pejuang,pejuang,Cikgu Halim,L,06836,Perak,Beruas
190,bn,umno,bn,Azman Noh,L,06836,Perak,Beruas
191,ph,pkr,ph,Abul Jais Ashfaq Ahmed,L,06836,Perak,Beruas
192,ph,dap,ph,Wong May Ing,P,06837,Perak,Beruas
193,bn,mca,bn,Looi Tuan Gin,L,06837,Perak,Beruas
194,pn,gerakan,pn,Eee Chin Oon,L,06837,Perak,Beruas
195,pn,gerakan,pn,Yong Il Yan,L,06838,Perak,Beruas
196,ph,dap,ph,Jason Ng Thien Yeong,L,06838,Perak,Beruas
197,bn,mca,bn,Cheng Lee Chong,L,06838,Perak,Beruas
198,bn,umno,bn,Khairudin Abu Hanipah,L,06939,Perak,Parit
199,gta,pejuang,pejuang,Ustaz Shaharuzzaman,L,06939,Perak,Parit
200,pn,bersatu,pn,Wan Meor Safwat Naqiuddin Shamsudin,L,06939,Perak,Parit
201,ph,amanah,ph,Mohd Ikhmal Mohd Iskandar,L,06939,Perak,Parit
202,pn,pas,pn,Najihatussaleh Ahmad,P,06940,Perak,Parit
203,ph,pkr,ph,Usaili Alias,L,06940,Perak,Parit
204,gta,putra,pejuang,Mohd Shahril Harahab Abdul Halil,L,06940,Perak,Parit
205,bn,umno,bn,Khairul Shahril Mohamed,L,06940,Perak,Parit
206,pn,pas,pn,Aemeera Najwa Syed Mohamed,P,07041,Perak,Kampar
207,,warisan,warisan,Leong Cheok Keng,L,07041,Perak,Kampar
208,bn,umno,bn,Chin Woon Kheong,L,07041,Perak,Kampar
209,ph,dap,ph,V Bavani,P,07041,Perak,Kampar
210,ph,dap,ph,Koo Haiai Yen,P,07042,Perak,Kampar
211,pn,gerakan,pn,Foong Kar Sing,L,07042,Perak,Kampar
212,,warisan,warisan,Puah Chee Haur,L,07042,Perak,Kampar
213,bn,mca,bn,Ng Wah Leng,P,07042,Perak,Kampar
214,pn,bersatu,pn,Pazli Abdullah Sani,L,07043,Perak,Kampar
215,ph,pkr,ph,Mohd Azlan Helmi Helmi,L,07043,Perak,Kampar
216,bn,umno,bn,Abd Rahman Md Som,L,07043,Perak,Kampar
217,bn,umno,bn,Hang Tuah Din,L,07144,Perak,Gopeng
218,,warisan,warisan,Roshanita Mohd Basir,P,07144,Perak,Gopeng
219,ph,amanah,ph,Mohammad Nizar Jamaluddin,L,07144,Perak,Gopeng
220,pn,bersatu,pn,Mohader Ahmad Mohammad Ayob,L,07144,Perak,Gopeng
