,parCode,codeId,state,ge14WonParty,ge14WonCoalition,ge14Majority,parName,zhParName,voters,incumbentName,zhName,incumbentCoalition,incumbentParty,forLiveSite
63,P119,11900,KL,bersatu,ph,4139,Titiwangsa,蒂蒂旺沙,80747,Rina Mohd Harun,丽娜哈仑,pn,bersatu,PN
64,P100,10000,Selangor,pkr,ph,52543,Pandan,班登,148730,Wan Azizah Wan Ismail,旺阿兹莎,ph,pkr,HARAPAN
65,P002,00200,Perlis,pkr,ph,5603,Kangar,加央,74859,Noor Amin Ahmad,诺阿敏,ph,pkr,HARAPAN
66,P093,09300,Selangor,bersatu,ph,714,Sungai Besar,大港,64382,Muslimin Yahaya,慕斯莉敏,pn,bersatu,PN
67,P146,14600,Johor,bersatu,ph,6953,Muar,麻坡,68925,Syed Saddiq Syed Abdul Rahman,赛沙迪,ph,muda,HARAPAN
68,P076,07600,Perak,dap,ph,11179,Teluk Intan,安顺,87222,Nga Kor Ming,倪可敏,ph,dap,HARAPAN
69,P133,13300,Negeri Sembilan,amanah,ph,1002,Tampin,淡边,81099,Hasan Bahrom,哈山,ph,amanah,HARAPAN
70,P104,10400,Selangor,pkr,ph,92353,Subang,梳邦,230940,Wong Chen,黄基全,ph,pkr,HARAPAN
71,P017,01700,Kedah,pkr,ph,8813,Padang Serai,巴东色海,133867,M Karupaiya,木都沙米,ph,pkr,HARAPAN
72,P055,05500,Perak,umno,bn,5773,Lenggong,玲珑,36950,Shamsul Anuar Nasarah,山苏,bn,umno,BN
73,P097,09700,Selangor,pkr,ph,40657,Selayang,士拉央,181539,William Leong Jee Keen,梁志坚,ph,pkr,HARAPAN
74,P105,10500,Selangor,pkr,ph,57137,Petaling Jaya,八打灵再也,195148,Maria Chin Abdullah,玛丽亚陈,ph,pkr,HARAPAN
75,P045,04500,Penang,dap,ph,52877,Bukit Mertajam,大山脚,120819,Steven Sim Chee Keong,沈志强,ph,dap,HARAPAN
76,P052,05200,Penang,pkr,ph,37751,Bayan Baru,峇央峇鲁,119640,Sim Tze Tzin,沈志勤,ph,pkr,HARAPAN
77,P162,16200,Johor,dap,ph,44864,Iskandar Puteri,依斯干达公主城,222437,Lim Kit Siang,林吉祥,ph,dap,HARAPAN
78,P048,04800,Penang,dap,ph,40731,Bukit Bendera,升旗山,92521,Wong Hon Wai,黄汉伟,ph,dap,HARAPAN
79,P140,14000,Johor,pkr,ph,5476,Segamat,昔加末,69360,Edmund Santhara Kumar,山塔拉,,pbm,PBM
80,P132,13200,Negeri Sembilan,pkr,ph,17710,Port Dickson,波德申,104450,Anwar Ibrahim,安华,ph,pkr,HARAPAN
81,P082,08200,Pahang,pkr,ph,10950,Indera Mahkota,英迪拉马哥打,120549,Saifuddin Abdullah,赛夫丁阿都拉,pn,bersatu,PN
82,P087,08700,Pahang,umno,bn,2876,Kuala Krau,瓜拉吉挠,60537,Ismail Mohamed Said,依斯迈赛益,bn,umno,BN
83,P117,11700,KL,pkr,ph,45702,Segambut,泗岩沫,119652,Hannah Yeoh Tseow Suan,杨巧双,ph,dap,HARAPAN
84,P141,14100,Johor,pkr,ph,1281,Sekijang,士基央,63981,Natrah Ismail,娜拉,ph,pkr,HARAPAN
85,P073,07300,Perak,umno,bn,7712,Pasir Salak,巴西沙叻,74761,Tajuddin Abdul Rahman,达祖丁,bn,umno,BN
