,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added,coal_or_party
413,2022,LIM SI CHING,PN,GERAKAN,0,0,106,DAMANSARA,Selangor,0,0,F,0,PN
414,2022,TAN GIM TUAN,BN,MCA,0,0,106,DAMANSARA,Selangor,0,0,F,0,BN
415,2022,LEE CHEE LEONG,BN,MCA,0,0,070,KAMPAR,Perak,0,0,F,0,BN
416,2022,WONG OI FOON,PN,GERAKAN,0,0,070,KAMPAR,Perak,0,0,M,0,PN
417,2022,CHONG ZHEMIN,PH,DAP,0,0,070,KAMPAR,Perak,0,0,F,0,DAP
418,2022,LEONG CHEOK LUNG,,WARISAN,0,0,070,KAMPAR,Perak,0,0,F,0,WARISAN
419,2022,ANTHONY LOKE SIEW FOOK,PH,DAP,0,0,128,SEREMBAN,Negeri Sembilan,0,0,F,0,DAP
420,2022,IZZAT LESLY,,IND,0,0,128,SEREMBAN,Negeri Sembilan,0,0,F,0,BEBAS
421,2022,WONG YIN TING,BN,MCA,0,0,128,SEREMBAN,Negeri Sembilan,0,0,F,0,BN
422,2022,MOHAMAD JANI ISMAIL,GTA,PEJUANG,0,0,128,SEREMBAN,Negeri Sembilan,0,0,F,0,PEJUANG
423,2022,MOHD FADLI CHE ME,PN,PAS,0,0,128,SEREMBAN,Negeri Sembilan,0,0,F,0,PAS
424,2022,AHMAD JUFLIZ FAIZA,,PRM,0,0,107,SUNGAI BULOH,Selangor,0,0,F,0,PRM
425,2022,MOHD AKMAL MOHD YUSOF,GTA,PEJUANG,0,0,107,SUNGAI BULOH,Selangor,0,0,F,0,PEJUANG
426,2022,SIFU LINDA,,IND,0,0,107,SUNGAI BULOH,Selangor,0,0,M,0,BEBAS
427,2022,KHAIRY JAMALUDDIN ABU BAKAR,BN,UMNO,0,0,107,SUNGAI BULOH,Selangor,0,0,F,0,BN
428,2022,SYED RAZAK ALSAGOFF,,IND,0,0,107,SUNGAI BULOH,Selangor,0,0,F,0,BEBAS
429,2022,RAMANAN RAMAKRISHNAN,PH,PKR,0,0,107,SUNGAI BULOH,Selangor,0,0,F,0,PH
430,2022,MOHD GHAZALI MD HAMIN,PN,PAS,0,0,107,SUNGAI BULOH,Selangor,0,0,F,0,PAS
431,2022,HARUN MOHAMED,PH,AMANAH,0,0,139,JASIN,Melaka,0,0,F,0,PH
432,2022,ROSLAN AHMAD,BN,UMNO,0,0,139,JASIN,Melaka,0,0,F,0,BN
433,2022,MOHD DAUD NASIR,GTA,PEJUANG,0,0,139,JASIN,Melaka,0,0,F,0,PEJUANG
434,2022,ZULKIFLI ISMAIL,PN,PAS,0,0,139,JASIN,Melaka,0,0,F,0,PAS
435,2022,FATIN ZULAIKHA ZAIDI,PH,DAP,0,0,154,MERSING,Johor,0,0,M,0,DAP
436,2022,ISMAIL DON,,IND,0,0,154,MERSING,Johor,0,0,F,0,BEBAS
437,2022,MUHAMMAD ISLAHUDDIN ABAS,PN,BERSATU,0,0,154,MERSING,Johor,0,0,F,0,PN
438,2022,NURFATIMAH IBRAHIM,GTA,PEJUANG,0,0,154,MERSING,Johor,0,0,M,0,PEJUANG
439,2022,ABD LATIF BANDI,BN,UMNO,0,0,154,MERSING,Johor,0,0,F,0,BN
