,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added,fuzzy,spr_id,id_x,t,kid,a,ju,mj
62,2022,P RAVEENTHARAN A PERIASAMY,,IND,209,0,111,KOTA RAJA,Selangor,0,0,F,0,1,865.0,865.0,P.RAVEENTHARAN  A/L A.PERIASAMY,11100,BEBAS,209.0,73998.0
63,2022,SARAH AFIQAH ZAINOL ARIF,,PRM,360,0,111,KOTA RAJA,Selangor,0,0,M,0,0,796.0,796.0,SARAH AFIQAH,11100,PRM,360.0,73998.0
64,2022,SURENDHAR SELVARAJU,,IND,106,0,111,KOTA RAJA,Selangor,0,0,F,0,1,706.0,706.0,SURENDHAR SELVARAJU,11100,BEBAS,106.0,73998.0
65,2022,ABDUL LATIFF ABDUL RAHMAN,PN,PAS,42740,0,031,KUALA KRAI,Kelantan,0,0,F,0,0,193.0,193.0,USTAZ LATIFF,03100,PAS,42740.0,25188.0
66,2022,MOHAMED ZULKEPLI OMAR,BN,UMNO,17552,0,031,KUALA KRAI,Kelantan,0,0,F,0,0,393.0,393.0,ZUKI,03100,BN,17552.0,25188.0
67,2022,NORASHIKIN CHE OMAR,GTA,PEJUANG,241,0,031,KUALA KRAI,Kelantan,0,0,M,0,0,490.0,490.0,NORASHIKIN,03100,PEJUANG,241.0,25188.0
68,2022,MOHD HISYAMUDDIN,PH,AMANAH,4148,0,031,KUALA KRAI,Kelantan,0,0,F,0,0,317.0,317.0,SYAM GHAZ,03100,PH,4148.0,25188.0
69,2022,SAIFUDDIN NASUTION ISMAIL,PH,PKR,21408,0,018,KULIM-BANDAR BAHARU,Kedah,0,0,F,0,0,318.0,318.0,DATUK SERI SAIFUDDIN NASUTION ISMAIL,01800,PH,21408.0,13061.0
70,2022,ROSLAN HASHIM,PN,BERSATU,34469,0,018,KULIM-BANDAR BAHARU,Kedah,0,0,F,0,0,837.0,837.0,CIKGU ROSLAN HASHIM,01800,PN,34469.0,13061.0
71,2022,MOHAMAD YUSRIZAL YUSOFF,GTA,DIRECT,591,0,018,KULIM-BANDAR BAHARU,Kedah,0,0,F,0,1,779.0,779.0,RIZAL,01800,PEJUANG,591.0,13061.0
