,party_code,name,votes,majority,year,state,constituency,parliament_code_digits,NameBallot,winner,total_votes,vote_share
1158,PRS,JOSEPH SALANG ANAK GANDUM,8174,0.0,2018,Sarawak,JULAU,209,JOSEPH SALANG ANAK GANDUM,0,18279,44.717982384156684
1159,PRS,AGO ANAK DAGANG,9552,4312.0,2018,Sarawak,KANOWIT,210,AGO ANAK DAGANG,1,14792,64.57544618712818
1160,PKR,SATU ANAK ANCHOM,5240,0.0,2018,Sarawak,KANOWIT,210,SATU ANAK ANCHOM,0,14792,35.42455381287182
1161,DAP,ALICE LAU KIONG YIENG,29905,14546.0,2018,Sarawak,LANANG,211,ALICE LAU KIONG YIENG,1,45892,65.16386298265493
1162,SUPP,KONG SIEN CHIU @ KELVIN KONG,15359,0.0,2018,Sarawak,LANANG,211,KONG SIEN CHIU,0,45892,33.46770678985444
1163,PEACE,PRISCILLA LAU,628,0.0,2018,Sarawak,LANANG,211,PRISCILLA LAU,0,45892,1.3684302274906301
1164,DAP,OSCAR LING CHAI YEW,33811,11422.0,2018,Sarawak,SIBU,212,OSCAR LING CHAI YEW,1,56753,59.57570524906173
1165,SUPP,WONG KEE YEW @ ANDREW WONG,22389,0.0,2018,Sarawak,SIBU,212,WONG KEE YEW,0,56753,39.44989692174863
1166,PEACE,TIEW YEN HOUNG,377,0.0,2018,Sarawak,SIBU,212,TIEW YEN HOUNG,0,56753,0.6642820643842616
1167,STAR,TIONG ING TUNG,176,0.0,2018,Sarawak,SIBU,212,TIONG ING TUNG,0,56753,0.3101157648053847
1168,PBB,HANIFAH HAJAR TAIB,13853,7000.0,2018,Sarawak,MUKAH,213,HANIFAH HAJAR TAIB,1,20706,66.90331304935768
1169,PKR,ABDUL JALIL BIN BUJANG,6853,0.0,2018,Sarawak,MUKAH,213,ABDUL JALIL BUJANG,0,20706,33.09668695064233
1170,PKR,BARU BIAN,11228,486.0,2018,Sarawak,SELANGAU,214,BARU BIAN,1,21970,51.106053709604005
1171,PRS,RITA SARIMAH ANAK PATRICK INSOL,10742,0.0,2018,Sarawak,SELANGAU,214,RITA INSOL,0,21970,48.893946290395995
1172,PBB,ALEXANDER NANTA LINGGI,14302,10479.0,2018,Sarawak,KAPIT,215,DATUK ALEXANDER NANTA LINGGI,1,18125,78.90758620689655
1173,DAP,PAREN ANAK NYAWI,3823,0.0,2018,Sarawak,KAPIT,215,PAREN ANAK NYAWI,0,18125,21.092413793103447
1174,SPDP,TIONG KING SING,27076,7022.0,2018,Sarawak,BINTULU,217,DATO' SERI TIONG KING SING,1,47458,57.05255172995069
1175,DAP,CHIEW CHAN YEW,20054,0.0,2018,Sarawak,BINTULU,217,CHIEW CHAN YEW,0,47458,42.25631084327195
1176,STAR,CHIENG LEA PHING,328,0.0,2018,Sarawak,BINTULU,217,CHIENG LEA PHING,0,47458,0.691137426777361
1177,PBB,LUKANISMAN BIN AWANG SAUNI,12214,3676.0,2018,Sarawak,SIBUTI,218,LUKANISMAN BIN AWANG SAUNI,1,22369,54.602351468550225
1178,PKR,JEMAT PANJANG,8538,0.0,2018,Sarawak,SIBUTI,218,JEMAT PANJANG,0,22369,38.16889445214359
1179,PAS,ZULAIHI BIN BAKAR,1617,0.0,2018,Sarawak,SIBUTI,218,ANAI ZULAI,0,22369,7.228754079306182
1180,PKR,MICHAEL TEO YU KENG,35739,13663.0,2018,Sarawak,MIRI,219,MICHAEL TEO YU KENG,1,57815,61.816137680532734
1181,SUPP,SEBASTIAN TING CHIEW YEW,22076,0.0,2018,Sarawak,MIRI,219,SEBASTIAN TING CHIEW YEW,0,57815,38.183862319467266
1182,SPDP,ANYI NGAU,12171,1990.0,2018,Sarawak,BARAM,220,ANYI NGAU,1,22352,54.45150322118826
1183,PKR,ROLAND ENGAN,10181,0.0,2018,Sarawak,BARAM,220,ROLAND ENGAN,0,22352,45.54849677881174
1184,PBB,HASBI BIN HABIBOLLAH,12589,7710.0,2018,Sarawak,LIMBANG,221,HASBI BIN HABIBOLLAH,1,17468,72.06892603618044
1185,PKR,RICARDO OSMUND YAMPIL BABA,4879,0.0,2018,Sarawak,LIMBANG,221,DR RICARDO YAMPIL BABA,0,17468,27.931073963819557
1186,PBB,HENRY SUM AGONG,10037,6000.0,2018,Sarawak,LAWAS,222,HENRY SUM AGONG,1,14250,70.43508771929825
1187,PKR,DANNY PIRI,4037,0.0,2018,Sarawak,LAWAS,222,DANNY PIRI,0,14250,28.32982456140351
1188,BEBAS,MOHAMAD BIN HAJI BRAHIM,176,0.0,2018,Sarawak,LAWAS,222,MOHAMMAD BIN HAJI BRAHIM,0,14250,1.2350877192982457
