,name,number_of_voters,panel_code,panel_name,tab
25,Salim Mahmood Al-Hafiz (PAS),"31.9% (9,573)",N9,BUKIT LADA (P8),state
26,Ariffin Man (BN - UMNO),"27.6% (8,288)",N9,BUKIT LADA (P8),state
27,Mohd Aizad Roslan (PH - PPBM),"21.1% (6,337)",N9,BUKIT LADA (P8),state
28,Mohd Ismail Othman (IND),1.5% (444),N9,BUKIT LADA (P8),state
29,Wan Romani Wan Salim (PAS),"35.9% (10,432)",N10,BUKIT PINANG (P8),state
30,Che Mat Dzaher Ahmad (PH - PKR),"24.9% (7,220)",N10,BUKIT PINANG (P8),state
31,Mohammad Nawar Ariffin (BN - UMNO),"21.7% (6,289)",N10,BUKIT PINANG (P8),state
32,Tan Kok Yew (PH - DAP),"40.3% (11,232)",N11,DERGA (P8),state
33,Yahya Saad (PAS),"21.4% (5,967)",N11,DERGA (P8),state
34,Cheah Soon Hai (BN - GERAKAN),"17.7% (4,916)",N11,DERGA (P8),state
35,Zamri Yusuf (PH - PKR),"42.5% (13,301)",N12,SUKA MENANTI (P9),state
36,Ahmad Bashah Md Hanipah (BN - UMNO),"22.5% (7,050)",N12,SUKA MENANTI (P9),state
37,Mohd Sabri Omar (PAS),"14.6% (4,580)",N12,SUKA MENANTI (P9),state
38,Teh Swee Leong (PH - DAP),"53.8% (11,737)",N13,KOTA DARUL AMAN (P9),state
39,Tan Eng Hwa (BN - MCA),"15.0% (3,269)",N13,KOTA DARUL AMAN (P9),state
40,Zulkifli Che Haron (PAS),"7.9% (1,732)",N13,KOTA DARUL AMAN (P9),state
41,Tan Kang Yap (PRM),0.1% (32),N13,KOTA DARUL AMAN (P9),state
42,Phahrolrazi Mohd Zawawi (PH - AMANAH),"32.6% (8,840)",N14,ALOR MENGKUDU (P9),state
43,Ahmad Saad @ Yahaya (PAS),"25.7% (6,964)",N14,ALOR MENGKUDU (P9),state
44,Abdul Malik Saad (BN - UMNO),"23.7% (6,434)",N14,ALOR MENGKUDU (P9),state
45,Amiruddin Hamzah (PH - PPBM),"34.8% (9,810)",N15,ANAK BUKIT (P10),state
46,Hamdi Ishak (PAS),"29.2% (8,231)",N15,ANAK BUKIT (P10),state
47,Johari Aziz (BN - UMNO),"18.4% (5,200)",N15,ANAK BUKIT (P10),state
48,Mohd Asmirul Anuar Aris (PH - PKR),"38.6% (14,004)",N16,KUBANG ROTAN (P10),state
49,Abdul Muthalib Harun (BN - UMNO),"20.6% (7,469)",N16,KUBANG ROTAN (P10),state
50,Omar Saad (PAS),"20.1% (7,303)",N16,KUBANG ROTAN (P10),state
51,Ismail Salleh (PH - AMANAH),"34.8% (11,578)",N17,PENGKALAN KUNDOR (P10),state
52,Ahmad Fakhruddin Fakhrurazi (PAS),"27.3% (9,088)",N17,PENGKALAN KUNDOR (P10),state
53,Abdul Halim Said (BN - UMNO),"19.6% (6,524)",N17,PENGKALAN KUNDOR (P10),state
54,Mohd Hayati Othman (PAS),"43.8% (15,941)",N18,TOKAI (P11),state
55,Ahmad Fatahi Omar (BN - UMNO),"21.7% (7,892)",N18,TOKAI (P11),state
56,Mohd Firdaus Jaafar (PH - AMANAH),"18.2% (6,632)",N18,TOKAI (P11),state
57,Suraya Yaacob (BN - UMNO),"31.7% (12,213)",N19,SUNGAI TIANG (P11),state
58,Saiful Syazwan Shafie (PAS),"30.1% (11,572)",N19,SUNGAI TIANG (P11),state
59,Abdul Razak Khamis (PH - PPBM),"20.9% (8,028)",N19,SUNGAI TIANG (P11),state
60,Mohd Azam Abd Samat (PAS),"45.3% (13,048)",N20,SUNGAI LIMAU (P12),state
61,Norma Awang (BN - UMNO),"24.6% (7,075)",N20,SUNGAI LIMAU (P12),state
62,Zahran Abdullah (PH - AMANAH),"15.6% (4,493)",N20,SUNGAI LIMAU (P12),state
63,Ku Abd Rahman Ku Ismail (BN - UMNO),"28.8% (6,518)",N21,GUAR CHEMPEDAK (P12),state
64,Mussodak Ahmad (PAS),"27.6% (6,259)",N21,GUAR CHEMPEDAK (P12),state
65,Mohd Saffuan Sabari (PH - PPBM),"25.1% (5,686)",N21,GUAR CHEMPEDAK (P12),state
66,Johari Abdul (PH - PKR),"37.6% (10,732)",N22,GURUN (P12),state
67,Boey Chin Gan (BN - MCA),"22.9% (6,525)",N22,GURUN (P12),state
68,Muzaini Azizan (PAS),"18.4% (5,257)",N22,GURUN (P12),state
69,Palaniappan Marimuthu (IND),0.6% (167),N22,GURUN (P12),state
70,Mohd Isa Shafie (PAS),"42.2% (9,600)",N23,BELANTEK (P13),state
71,Mohd Tajudin Abdullah (BN - UMNO),"30.9% (7,026)",N23,BELANTEK (P13),state
72,Abdul Rashid Abdullah (PH - AMANAH),"10.4% (2,376)",N23,BELANTEK (P13),state
73,Muhammad Sanusi Md Noor (PAS),"38.4% (10,626)",N24,JENERI (P13),state
74,Mahadzir Abdul Hamid (BN - UMNO),"29.6% (8,171)",N24,JENERI (P13),state
75,Mohd Nazri Abu Hassan (PH - PPBM),"15.0% (4,146)",N24,JENERI (P13),state
76,Summugam Rengasamy (PH - PKR),"36.3% (17,573)",N25,BUKIT SELAMBAU (P14),state
77,Mohd Ali Sulaiman (PAS),"24.7% (11,938)",N25,BUKIT SELAMBAU (P14),state
78,Jaspal Singh Gurbakhes Singh (BN - MIC),"19.5% (9,449)",N25,BUKIT SELAMBAU (P14),state
79,Hanif Ghazali (PAS),"29.0% (11,444)",N26,TANJONG DAWAI (P14),state
80,Annuar Abdul Hamid (PH - PPBM),"26.6% (10,492)",N26,TANJONG DAWAI (P14),state
81,Annuar Ahmad (BN - UMNO),"26.4% (10,421)",N26,TANJONG DAWAI (P14),state
82,Ahmad Fadzli Hashim (PAS),"38.4% (14,133)",N27,PANTAI MERDEKA (P15),state
83,Ali Yahaya (BN - UMNO),"26.0% (9,567)",N27,PANTAI MERDEKA (P15),state
84,Rosli Yusof (PH - AMANAH),"19.8% (7,281)",N27,PANTAI MERDEKA (P15),state
85,Ooi Tze Min (PH - PKR),"47.3% (18,440)",N28,BAKAR ARANG (P15),state
86,Othman Che Mee (PAS),"19.5% (7,607)",N28,BAKAR ARANG (P15),state
87,Ko Hung Weng (BN - MCA),"14.2% (5,547)",N28,BAKAR ARANG (P15),state
88,Tan Kee Chye (PRM),0.1% (58),N28,BAKAR ARANG (P15),state
89,Tan Hock Huat (IND),0.1% (29),N28,BAKAR ARANG (P15),state
90,Robert Ling Kui Ee (PH - PKR),"47.2% (17,344)",N29,SIDAM (P15),state
91,Nur Hidayah Foo Abdullah (PAS),"17.6% (6,484)",N29,SIDAM (P15),state
92,Tan Kok Seong (BN - GERAKAN),"16.2% (5,951)",N29,SIDAM (P15),state
93,Mohd Hashim Saaludin (PRM),0.2% (80),N29,SIDAM (P15),state
94,Abdul Nasir Idris (PAS),"36.8% (14,339)",N30,BAYU (P16),state
95,Mohamed Noor Mohamed Amin (BN - UMNO),"34.4% (13,415)",N30,BAYU (P16),state
96,Abd Rahim Kechik @ Wan Chik (PH - PPBM),"13.0% (5,059)",N30,BAYU (P16),state
97,Najmi Hj Ahmad (PAS),"38.6% (13,290)",N31,KUPANG (P16),state
98,Harun Abdul Aziz (BN - UMNO),"33.9% (11,663)",N31,KUPANG (P16),state
99,Johari Abdullah (PH - AMANAH),"12.1% (4,168)",N31,KUPANG (P16),state
100,Mansor Zakaria (PAS),"37.2% (12,574)",N32,KUALA KETIL (P16),state
101,Mohd Khairul Azhar Abdullah (BN - UMNO),"32.5% (10,993)",N32,KUALA KETIL (P16),state
102,Mohamad Sofee Razak (PH - PKR),"14.7% (4,952)",N32,KUALA KETIL (P16),state
103,Siti Ashah Ghazali (PAS),"28.7% (9,892)",N33,MERBAU PULAS (P17),state
104,Asmadi Abu Talib (BN - UMNO),"27.4% (9,454)",N33,MERBAU PULAS (P17),state
105,Abd Razak Salleh (PH - AMANAH),"26.9% (9,267)",N33,MERBAU PULAS (P17),state
106,Azman Nasrudin (PH - PKR),"47.5% (23,904)",N34,LUNAS (P17),state
107,Ahmad Taufiq Baharum (PAS),"20.0% (10,091)",N34,LUNAS (P17),state
108,Thuraisingam Muthu (BN - MIC),"14.9% (7,489)",N34,LUNAS (P17),state
109,Yeo Keng Chuan (PH - PKR),"33.9% (13,070)",N35,KULIM (P18),state
110,Chua Thiong Gee (BN - MCA),"24.0% (9,275)",N35,KULIM (P18),state
111,Mohd Khairi Mohd Salleh (PAS),"23.5% (9,080)",N35,KULIM (P18),state
112,Lee Ah Leong (PRM),0.1% (34),N35,KULIM (P18),state
113,Norsabrina Mohd Noor (BN - UMNO),"28.1% (7,884)",N36,BANDAR BAHARU (P18),state
114,Azimi Daim (PH - PPBM),"26.8% (7,507)",N36,BANDAR BAHARU (P18),state
115,Rohaizat Jaafar (PAS),"26.8% (7,506)",N36,BANDAR BAHARU (P18),state
