,name,number_of_voters,panel_code,panel_name,tab
61,Salwa Yunus (BN - UMNO),"11.6% (5,380)",N19,BUKIT ANTARABANGSA (P99),state
62,Sharifah Haslizah Syed Ariffin (PAS),"5.0% (2,311)",N19,BUKIT ANTARABANGSA (P99),state
63,Ahmad Kamarudin (PRM),0.2% (116),N19,BUKIT ANTARABANGSA (P99),state
64,Mohamed Azwan Ali (IND),0.2% (90),N19,BUKIT ANTARABANGSA (P99),state
65,Haniza Mohamed Talha (PH - PKR),"49.8% (22,512)",N20,LEMBAH JAYA (P99),state
66,Muhamad Nizam Shith (BN - UMNO),"17.1% (7,722)",N20,LEMBAH JAYA (P99),state
67,Khasim Abdul Aziz (PAS),"16.3% (7,358)",N20,LEMBAH JAYA (P99),state
68,Norizwan Mohamed (PRM),0.4% (177),N20,LEMBAH JAYA (P99),state
69,Izham Hashim (PH - AMANAH),"50.8% (24,914)",N21,PANDAN INDAH (P100),state
70,Mohd Haniff Koslan (BN - UMNO),"17.4% (8,528)",N21,PANDAN INDAH (P100),state
71,Iskandar Abdul Samad (PAS),"15.3% (7,517)",N21,PANDAN INDAH (P100),state
72,Lai Wai Chong (PH - DAP),"65.9% (34,453)",N22,TERATAI (P100),state
73,Mohd Irman Abdul Wahab (PAS),"9.6% (5,028)",N22,TERATAI (P100),state
74,Liew Pok Boon (BN - GERAKAN),"9.2% (4,784)",N22,TERATAI (P100),state
75,Lee Ying Ha (PRM),1.0% (529),N22,TERATAI (P100),state
76,Edry Faizal Eddy Yusof (PH - DAP),"45.5% (22,325)",N23,DUSUN TUA (P101),state
77,Mohd Zin Isa (BN - UMNO),"24.2% (11,903)",N23,DUSUN TUA (P101),state
78,Razaly Hassan (PAS),"15.8% (7,771)",N23,DUSUN TUA (P101),state
79,Bakhtiar Mohd Nor (PH - PPBM),"44.0% (23,428)",N24,SEMENYIH (P101),state
80,Johan Abd Aziz (BN - UMNO),"27.2% (14,464)",N24,SEMENYIH (P101),state
81,Mad Shahmidur Mat Kosim (PAS),"13.1% (6,966)",N24,SEMENYIH (P101),state
82,Arutchelvan Subramaniams (PSM),"2.4% (1,293)",N24,SEMENYIH (P101),state
83,Hee Loy Sian (PH - PKR),"62.8% (39,055)",N25,KAJANG (P102),state
84,Zaiton Ahmad (PAS),"13.4% (8,300)",N25,KAJANG (P102),state
85,Teh Yeow Meng (BN - MCA),"11.4% (7,097)",N25,KAJANG (P102),state
86,Wan Jinn Woei (PRM),0.2% (103),N25,KAJANG (P102),state
87,Mazwan Johar (PH - PKR),"44.7% (24,591)",N26,SUNGAI RAMAL (P102),state
88,Nushi Mahfodz (PAS),"25.4% (13,961)",N26,SUNGAI RAMAL (P102),state
89,Abdul Rahim Mohd Amin (BN - UMNO),"17.1% (9,372)",N26,SUNGAI RAMAL (P102),state
90,Ng Tien Chee (PH - DAP),"67.7% (41,768)",N27,BALAKONG (P102),state
91,Mohamad Ibrahim Ghazali (PAS),"10.1% (6,230)",N27,BALAKONG (P102),state
92,Lim Chin Wah (BN - MCA),"9.5% (5,874)",N27,BALAKONG (P102),state
93,Ean Yong Hian Wah (PH - DAP),"79.5% (34,659)",N28,SERI KEMBANGAN (P103),state
94,Chang Toong Woh (BN - MCA),"8.1% (3,514)",N28,SERI KEMBANGAN (P103),state
95,Siti Mariah Mahmud (PH - AMANAH),"51.3% (27,088)",N29,SERI SERDANG (P103),state
96,Mohamad Satim Diman (BN - UMNO),"24.1% (12,725)",N29,SERI SERDANG (P103),state
97,Noor Hanim Ismail (PAS),"10.5% (5,552)",N29,SERI SERDANG (P103),state
98,Ng Sze Han (PH - PKR),"72.1% (52,207)",N30,KINRARA (P104),state
99,Chiew Kai Heng (BN - MCA),"9.7% (6,995)",N30,KINRARA (P104),state
100,Lim Ying Ran (PAS),"5.2% (3,732)",N30,KINRARA (P104),state
101,Michelle Ng Mei Sze (PH - DAP),"74.8% (55,354)",N31,SUBANG JAYA (P104),state
102,Chong Ah Watt (BN - MCA),"9.6% (7,082)",N31,SUBANG JAYA (P104),state
103,Toh Sin Wah (IND),0.3% (228),N31,SUBANG JAYA (P104),state
104,Shaharuddin Badaruddin (PH - PKR),"55.6% (29,250)",N32,SERI SETIA (P105),state
105,Yusoff M Haniff (BN - UMNO),"18.8% (9,878)",N32,SERI SETIA (P105),state
106,Mohd Ghazali Daud (PAS),"8.7% (4,563)",N32,SERI SETIA (P105),state
107,Vigweswaran T Subramaniam (IND),0.4% (217),N32,SERI SETIA (P105),state
108,Syamsul Firdaus Mohamed Supri (PH - PKR),"48.5% (21,712)",N33,TAMAN MEDAN (P105),state
109,Abdul Mutalif Abdul Rahim (BN - UMNO),"24.1% (10,772)",N33,TAMAN MEDAN (P105),state
110,Ariffin Mahaiyuddin (PAS),"11.4% (5,090)",N33,TAMAN MEDAN (P105),state
111,Rajiv Rishyakaran (PH - DAP),"67.4% (29,366)",N34,BUKIT GASING (P105),state
112,Chai Ko Thing (BN - GERAKAN),"8.1% (3,531)",N34,BUKIT GASING (P105),state
113,David Sew Kah Heng (IKATAN),2.0% (890),N34,BUKIT GASING (P105),state
114,Lim Yi Wei (PH - DAP),"70.9% (34,477)",N35,KAMPUNG TUNKU (P106),state
115,Tan Gim Tuan (BN - MCA),"8.3% (4,033)",N35,KAMPUNG TUNKU (P106),state
116,Jamaliah Jamaluddin (PH - DAP),"75.0% (38,651)",N36,BANDAR UTAMA (P106),state
117,Ch'Ng Soo Chau (BN - MCA),"7.5% (3,882)",N36,BANDAR UTAMA (P106),state
118,Chong Fook Meng (IND),0.4% (188),N36,BANDAR UTAMA (P106),state
119,Wong Keat Ping (PH - PKR),"74.4% (47,748)",N37,BUKIT LANJAN (P106),state
120,Syed Abdul Razak Syed Long Alsagoff (BN - GERAKAN),"11.7% (7,515)",N37,BUKIT LANJAN (P106),state
121,Mohd Khairuddin Othman (PH - PKR),"50.6% (20,376)",N38,PAYA JARAS (P107),state
122,Zein Isma Ismail (BN - UMNO),"20.6% (8,304)",N38,PAYA JARAS (P107),state
123,Hanafi Zulkapli (PAS),"15.0% (6,042)",N38,PAYA JARAS (P107),state
124,Shatiri Mansor (PH - PKR),"52.4% (26,440)",N39,KOTA DAMANSARA (P107),state
125,Halimaton Saadiah Bohan (BN - UMNO),"21.3% (10,737)",N39,KOTA DAMANSARA (P107),state
126,Siti Rohaya Ahad (PAS),"11.2% (5,633)",N39,KOTA DAMANSARA (P107),state
127,Sivarajan Arumugam (PSM),0.9% (435),N39,KOTA DAMANSARA (P107),state
128,Mohd Najwan Halimi (PH - PKR),"51.5% (26,947)",N40,KOTA ANGGERIK (P108),state
129,Ahmad Dusuki Abd Rani (PAS),"19.0% (9,943)",N40,KOTA ANGGERIK (P108),state
130,Jumaeah Masdi (BN - UMNO),"17.1% (8,924)",N40,KOTA ANGGERIK (P108),state
131,Rodziah Ismail (PH - PKR),"50.2% (27,638)",N41,BATU TIGA (P108),state
132,Ahmad Mua'adzam Shah Ya'akop (BN - UMNO),"21.8% (12,022)",N41,BATU TIGA (P108),state
133,Abdul Halim Omar (PAS),"14.2% (7,793)",N41,BATU TIGA (P108),state
134,Mohd Fakhrulrazi Mohd Mokhtar (PH - PKR),"45.2% (17,665)",N42,MERU (P109),state
135,Khairul Anuar Saimun (BN - UMNO),"20.6% (8,057)",N42,MERU (P109),state
136,Noor Najhan Mohamad Salleh (PAS),"20.0% (7,804)",N42,MERU (P109),state
137,Manikavasagam Sundaram (PRM),0.9% (346),N42,MERU (P109),state
138,Shee Chee Weng (IND),0.2% (72),N42,MERU (P109),state
139,Daroyah Alwi (PH - PKR),"40.1% (17,867)",N43,SEMENTA (P109),state
140,Saroni Judi (BN - UMNO),"28.1% (12,497)",N43,SEMENTA (P109),state
141,Wan Hasrina Wan Hassan (PAS),"17.3% (7,696)",N43,SEMENTA (P109),state
142,Gandhi Nagamuthu (PRM),0.3% (120),N43,SEMENTA (P109),state
143,Abdul Rashid Asari (PH - PKR),"29.6% (12,266)",N44,SELAT KLANG (P109),state
144,Halimah Ali (PAS),"28.4% (11,766)",N44,SELAT KLANG (P109),state
145,Mohd Khairi Hussin (BN - UMNO),"24.0% (9,949)",N44,SELAT KLANG (P109),state
146,Jeichandran Wadivelu (PRM),0.1% (52),N44,SELAT KLANG (P109),state
147,Zainal Azwar Kamaruddin (IND),0.1% (49),N44,SELAT KLANG (P109),state
148,Teng Chang Khim (PH - DAP),"77.4% (44,926)",N45,BANDAR BARU KLANG (P110),state
149,Teoh Kah Yeong (BN - MCA),"8.8% (5,098)",N45,BANDAR BARU KLANG (P110),state
150,Azmizam Zaman Huri (PH - PKR),"46.8% (15,837)",N46,PELABUHAN KLANG (P110),state
151,Seikh Rajesh Seikh Ahmad (BN - UMNO),"27.8% (9,415)",N46,PELABUHAN KLANG (P110),state
152,Khalid Nayan (PAS),"8.7% (2,925)",N46,PELABUHAN KLANG (P110),state
153,Shanmugasundram Veerappan (PSM),0.4% (128),N46,PELABUHAN KLANG (P110),state
154,Leong Tuck Chee (PH - DAP),"72.2% (41,552)",N47,PANDAMARAN (P110),state
155,Tee Hooi Ling (BN - MCA),"9.9% (5,689)",N47,PANDAMARAN (P110),state
156,Santokh Singh Gurdev Singh (IKATAN),"2.5% (1,459)",N47,PANDAMARAN (P110),state
157,Gunarajah R George (PH - PKR),"74.1% (38,106)",N48,SENTOSA (P111),state
158,Subramaniam T Retnam (BN - MIC),"8.8% (4,506)",N48,SENTOSA (P111),state
159,Rajan Manikesavan (PAS),"3.3% (1,722)",N48,SENTOSA (P111),state
160,Sundarajoo Periasamy (IND),0.2% (95),N48,SENTOSA (P111),state
161,Telaiamblam Mariappan (PRM),0.2% (79),N48,SENTOSA (P111),state
162,Mat Shuhaimi Shafiei (PH - PKR),"47.2% (23,998)",N49,SUNGAI KANDIS (P111),state
163,Kamaruzzaman Johari (BN - UMNO),"22.7% (11,518)",N49,SUNGAI KANDIS (P111),state
164,Mohd Yusof Abdullah (PAS),"14.9% (7,573)",N49,SUNGAI KANDIS (P111),state
165,Hanafiah Husin (PRM),0.1% (76),N49,SUNGAI KANDIS (P111),state
166,Ganabatirau Veraman (PH - DAP),"61.2% (28,617)",N50,KOTA KEMUNING (P111),state
167,Burhan Adnan (PAS),"14.9% (6,978)",N50,KOTA KEMUNING (P111),state
168,Tiew Hock Huat (BN - GERAKAN),"9.8% (4,601)",N50,KOTA KEMUNING (P111),state
169,Abdul Razak Ismail (PSM),0.5% (226),N50,KOTA KEMUNING (P111),state
170,Rajasekaran Soundarapandy (IND),0.2% (93),N50,KOTA KEMUNING (P111),state
171,Ahmad Yunus Hairi (PAS),"32.2% (12,688)",N51,SIJANGKANG (P112),state
172,Mohd Hamidi Abu Bakar (PH - PPBM),"27.9% (11,011)",N51,SIJANGKANG (P112),state
173,Sulaiman Mohd Karli (BN - UMNO),"26.4% (10,420)",N51,SIJANGKANG (P112),state
174,Lau Weng San (PH - DAP),"70.5% (21,846)",N52,BANTING (P112),state
175,Ng Siok Hwa (BN - MCA),"14.7% (4,547)",N52,BANTING (P112),state
176,Tan Choon Swee (PRM),1.0% (311),N52,BANTING (P112),state
177,Hasnul Baharuddin (PH - AMANAH),"34.4% (11,000)",N53,MORIB (P112),state
178,Rozana Kamarulzaman (BN - UMNO),"27.8% (8,883)",N53,MORIB (P112),state
179,Mohammad Sallehuddin Hafiz (PAS),"22.9% (7,329)",N53,MORIB (P112),state
180,Borhan Aman Shah (PH - PKR),"40.5% (9,828)",N54,TANJONG SEPAT (P113),state
181,Karim Mansor (BN - UMNO),"29.4% (7,124)",N54,TANJONG SEPAT (P113),state
182,Mohd Haslin Hassan (PAS),"17.6% (4,273)",N54,TANJONG SEPAT (P113),state
183,Adhif Syan Abdullah (PH - PPBM),"42.0% (21,172)",N55,DENGKIL (P113),state
184,Shahrum Mohd Sharif (BN - UMNO),"28.2% (14,238)",N55,DENGKIL (P113),state
185,Yusmi Haniff Ariffin (PAS),"16.7% (8,422)",N55,DENGKIL (P113),state
186,Liu Tian Khiew (PH - PKR),"45.3% (13,484)",N56,SUNGAI PELEK (P113),state
187,Ng Chok Sin (BN - MCA),"23.2% (6,898)",N56,SUNGAI PELEK (P113),state
188,Rohaya Mohd Shahir (PAS),"17.5% (5,200)",N56,SUNGAI PELEK (P113),state
189,Harry Arul Raj Krishnan (PAP),0.3% (79),N56,SUNGAI PELEK (P113),state
