,name,number_of_voters,panel_code,panel_name,tab
140,Ali Mazat Salleh (BN - UMNO),"34.9% (8,467)",N50,BUKIT PERMAI (P163),state
141,Abd Aziz Ja'afar (PAS),"5.7% (1,392)",N50,BUKIT PERMAI (P163),state
142,Jimmy Puah Wee Tse (PH - PKR),"56.6% (17,105)",N51,BUKIT BATU (P163),state
143,Teo Lee Ho (BN - GERAKAN),"23.3% (7,048)",N51,BUKIT BATU (P163),state
144,Juwahir Amin (PAS),"6.2% (1,888)",N51,BUKIT BATU (P163),state
145,Tee Boon Tsong (PH - DAP),"63.3% (28,274)",N52,SENAI (P163),state
146,Shen Poh Kuan (BN - MCA),"21.0% (9,372)",N52,SENAI (P163),state
147,Hasni Mohammad (BN - UMNO),"45.4% (9,480)",N53,BENUT (P164),state
148,Zulkifly Tasrep (PH - PPBM),"24.1% (5,033)",N53,BENUT (P164),state
149,Mohd Firdaus Jaffar (PAS),"12.4% (2,590)",N53,BENUT (P164),state
150,Muhammad Taqiuddin Cheman (PH - AMANAH),"41.8% (14,507)",N54,PULAI SEBATANG (P164),state
151,Tee Siew Kiong (BN - MCA),"32.0% (11,112)",N54,PULAI SEBATANG (P164),state
152,Baharom Mohamad (PAS),"8.6% (2,975)",N54,PULAI SEBATANG (P164),state
153,Yeo Tung Siong (PH - DAP),"44.6% (11,856)",N55,PEKAN NANAS (P165),state
154,Tan Eng Meng (BN - MCA),"39.6% (10,548)",N55,PEKAN NANAS (P165),state
155,Md Othman Hj Yusof (BN - UMNO),"41.3% (11,113)",N56,KUKUP (P165),state
156,Suhaizan Kaiat (PH - AMANAH),"38.1% (10,251)",N56,KUKUP (P165),state
157,Karim Deraman (PAS),"3.9% (1,040)",N56,KUKUP (P165),state
